notice_number,notice_title,post_date,application_start_date,application_end_date,location,is_correction
0000060870,[정정공고]부천대장 A7블록 공공분양주택 입주자모집공고,2025-04-30,,,,True
0000060872,[정정공고]부천대장 A8블록 공공분양주택 입주자모집공고,2025-04-30,,,,True
